province_territory,municipality,provider,year_updated,source_url,download_url,license,attribution
pe,charlottetown,PHAC,2023,Manual,Manual,,
bc,chilliwack,City of Chilliwack,2023,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=viewItem&odID=139,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=SHP&odID=139,https://www.chilliwack.com/main/page.cfm?id=2391,
bc,coquitlam,City of Coquitlam,2021,https://data.coquitlam.ca/datasets/Coquitlam::cycling-routes/about,https://opendata.arcgis.com/api/v3/datasets/b511b13ea7104eeab79bf6969bbae426_14/downloads/data?format=shp&spatialRefId=4326,https://www.coquitlam.ca/894/Open-Government-Licence,Contains information licensed under the Open Government Licence – Coquitlam.
on,cornwall,City of Cornwall,2023,https://data-cornwallcity.opendata.arcgis.com/datasets/deff651b312946028aa0cef30e1f5931_0/explore?location=45.037855%2C-74.756803%2C12.33,https://opendata.arcgis.com/api/v3/datasets/deff651b312946028aa0cef30e1f5931_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,,Contains information licensed under the Open Government Licence – City of Cornwall.
bc,courtenay,City of Courtenay,2023,https://data-courtenay.opendata.arcgis.com/datasets/Courtenay::cycling-network-plan/explore,https://opendata.arcgis.com/api/v3/datasets/e8d29dc1943c4e75910995abe0c9e95a_2/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://data-courtenay.opendata.arcgis.com/pages/city-of-courtenay-open-data-licence,Contains information licensed under the Open Government Licence – City of Courtenay
qc,drummondville,Ville de Drummondville,2023,https://donnees-vdrummondville.opendata.arcgis.com/datasets/vdrummondville::r%C3%A9seau-cyclable/about,https://opendata.arcgis.com/api/v3/datasets/ca551eb86e554bb1aa5fe840e1bdc3da_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,,
ab,edmonton,City of Edmonton,2023,https://data.edmonton.ca/Transportation-Infrastructure/Bike-Routes/vd4b-a4iv,https://data.edmonton.ca/api/views/vd4b-a4iv/rows.csv?date=20231212&accessType=DOWNLOAD,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,Contains information licensed under the Open Government Licence – City of Edmonton
on,essex_county,Town of Tecumseh,2022,https://opendata.countyofessex.ca/datasets/essexcounty::designated-bike-lanes/explore?location=42.285429%2C-82.942920%2C12.82,https://opendata.arcgis.com/api/v3/datasets/577df52b307948d3848f6dd3e6f50ee0_10/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,,"© Copyright Town of Tecumseh, The Town of Tecumseh does not warrant the accuracy, completeness, content, or currency of the information provided."
nb,fredericton,City of Fredericton,2022,https://environment-fredericton.hub.arcgis.com/datasets/bike-lanes/explore?location=45.950252%2C-66.625723%2C12.40,https://opendata.arcgis.com/api/v3/datasets/2f5958f7fb304d88a3092db99dc18f48_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,,
qc,gatineau,Ville de Gatineau,2024,https://www.donneesquebec.ca/recherche/dataset/vgat_906945613,https://www.gatineau.ca/upload/donneesouvertes/PISTE_CYCLABLE.zip,https://creativecommons.org/licenses/by/4.0/legalcode.fr,
on,greater_sudbury,City of Greater Sudbury,2023,https://opendata.greatersudbury.ca/datasets/Sudbury::road-sidewalk-path-trail-1/about,https://opendata.arcgis.com/api/v3/datasets/bfcec9fcacca450c8edaed4d1ecfab5e_14/downloads/data?format=shp&spatialRefId=26917&where=1%3D1,https://www.greatersudbury.ca/city-hall/open-government/open-data/licence/,Contains information licensed under the Open Data Licence – City of Greater Sudbury.
on,guelph,City of Guelph,2023,https://geohub.guelph.ca/datasets/cityofguelph::bikefacilities-forpublic/explore?location=43.531443%2C-80.224339%2C12.40,https://opendata.arcgis.com/api/v3/datasets/be58eef1bb974636a4b689a2a6db7ef3_0/downloads/data?format=shp&spatialRefId=4326&where=1%3D1,http://data.open.guelph.ca/pages/open-government-licence ,Contains information provided by the City of Guelph under an open government license
ns,halifax,Halifax Regional Municipality,2024,https://catalogue-hrm.opendata.arcgis.com/datasets/HRM::bike-infrastructure-and-suggested-routes/explore?location=44.751542%2C-63.643413%2C9.70,https://opendata.arcgis.com/api/v3/datasets/460bba0983504ff9a3d74f144128b1ad_0/downloads/data?format=shp&spatialRefId=4326,https://www.halifax.ca/home/open-data/open-data-licence,Contains information licenced under the Open Government Licence—Halifax
on,hamilton,City of Hamilton,2023,https://open.hamilton.ca/datasets/2f8d26d5842b4a7c80f60ab8abb6c44a_7/explore,https://opendata.arcgis.com/api/v3/datasets/544170b5b1be435592b1aea014265c7d_7/downloads/data?format=shp&spatialRefId=26917 ,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions ,Contains public sector Data made available under the City of Hamilton’s Open Data Licence
bc,kamloops,City of Kamloops,2023,https://mydata-kamloops.opendata.arcgis.com/datasets/3dff112559bc4fcda83a3a36e75b63ac_13/explore?location=50.725351%2C-120.315129%2C11.91,https://opendata.arcgis.com/api/v3/datasets/3dff112559bc4fcda83a3a36e75b63ac_13/downloads/data?format=shp&spatialRefId=3157&where=1%3D1,https://www.kamloops.ca/open-data-catalogue-disclaimer,Contains information licensed under the Open Government Licence - Kamloops.
bc,kelowna,City of Kelowna ,2021,https://opendata.kelowna.ca/datasets/active-transportation-network/about,https://opendata.arcgis.com/api/v3/datasets/d96897fe9f6348cfb33a497c8684707a_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://apps.kelowna.ca/images/opendata/OpenGovernmentLicence.pdf,Contains information licensed under the Open Government Licence – City of Kelowna. 
on,kingston,City of Kingston,2023,https://opendatakingston.cityofkingston.ca/datasets/87e0baff690548ae80966148827de62c_1,https://opendatakingston.cityofkingston.ca/explore/dataset/cycling-facilities/download/?format=shp&timezone=America/New_York&lang=en ,https://www.cityofkingston.ca/documents/10180/144997/CityofKingston_OpenDataLicense.pdf ,Contains information licensed under the Open Data Licence – City of Kingston
on,kitchener,City of Kitchener,2024,https://open-kitchenergis.opendata.arcgis.com/datasets/18817096d9ee49cca89f6a0d6092c2e7_0/explore?location=43.428127%2C-80.474809%2C12.08,https://stg-arcgisazurecdataprod1.az.arcgis.com/exportfiles-12773-181497/Cycling_Infrastructure_1101825394286327324.geojson?sv=2018-03-28&sr=b&sig=V8xR730wL7S4rfZLZLwRRMGDy%2FOsKT4GW%2BpW%2F1%2Bb9mI%3D&se=2024-03-21T21%3A11%3A41Z&sp=r,,Contains information licensed under the Open Government Licence - The Corporation of the City of Kitchener.
on,kitchener_mup,City of Kitchener,2023,https://open-kitchenergis.opendata.arcgis.com/datasets/9c7082ba9a5b423690160de3d16f9ff4_0/explore?filters=eyJTVUJDQVRFR09SWSI6WyJCTVVUIl19&location=43.436948%2C-80.476720%2C12.00,,,Contains information licensed under the Open Government Licence - The Corporation of the City of Kitchener.
bc,langley,Township of Langley,2022,https://data-langleycity.opendata.arcgis.com/datasets/3480ae6d305045139d4cd27a5d004492_157/explore,https://opendata.arcgis.com/api/v3/datasets/db1c6b25041447f19b0bc7a0fa4e4f82_0/downloads/data?format=shp&spatialRefId=26910,https://www.tol.ca/en/connect/open-data-licence.aspx,Contains information licensed under the Open Government License – Township of Langley
qc,laval,Ville de Laval,2023,https://www.donneesquebec.ca/recherche/dataset/pistes-cyclables-et-pietonnieres,https://www.donneesquebec.ca/recherche/dataset/c0b62d1f-a015-4b60-834c-cf4c15f9a15c/resource/452e8808-cd67-4f4c-b4ee-b897d8bfff8d/download/sad-reseau-cyclable.geojson,https://www.laval.ca/Pages/Fr/Citoyens/licence-utilisation-donnees-ouvertes.aspx,"You must give appropriate credit, provide a link to the license, and indicate if changes were"
qc,levis,Ville de Lévis,2023,https://www.donneesquebec.ca/recherche/dataset/piste-cyclable-levis,https://www.donneesquebec.ca/recherche/dataset/328dd2ea-7270-4730-a57f-eddf868da4e0/resource/5ab1ab51-e38e-4096-a96a-5180cfb2c64f/download/piste-cyclable.json,https://www.donneesquebec.ca/fr/licence/#cc-by,
on,london,City of London,2019,https://opendata.london.ca/datasets/b9ccfd746f2640b78cc18d2b78ef586a/about,https://opendata.arcgis.com/api/v3/datasets/b9ccfd746f2640b78cc18d2b78ef586a_20/downloads/data?format=shp&spatialRefId=26917 ,https://london.maps.arcgis.com/sharing/rest/content/items/e31458fd0c7e41dd9f93144a9550781d/data ,
qc,longueuil,Ville de Longueuil,2023,https://www.donneesquebec.ca/recherche/dataset/pistes-cyclables-longueuil#,https://www3.longueuil.quebec/sites/longueuil/files/donnees_ouvertes/pistecyclable.zip,https://www.donneesquebec.ca/fr/licence/#cc-by,
bc,maple_ridge,City of Maple Ridge,2022,https://opengov.mapleridge.ca/datasets/mapleridge::bike-routes/explore,https://opendata.arcgis.com/api/v3/datasets/812e524070764d258b96692297f1c5ba_6/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://opengov.mapleridge.ca/pages/terms-of-use,Contains information licensed under the Open Government Licence – Maple Ridge.
on,milton,Town of Milton,2022,https://discover-milton.hub.arcgis.com/datasets/Milton::trails/about,https://opendata.arcgis.com/api/v3/datasets/2a0335de0d3640a291fe6f3085c76de4_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://discover-milton.hub.arcgis.com/pages/disclaimer-and-terms-of-use,Contains information licensed under the Open Government Licence – Milton
on,mississauga,City of Mississauga,2021,https://data.mississauga.ca/datasets/mississauga::2021-city-of-mississauga-cycling-network/about,https://opendata.arcgis.com/api/v3/datasets/a182a71f5d5b4a2bac2857fbd40bdcc5_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://smartcity.mississauga.ca/wp-content/uploads/2021/04/CityofMississauga_TermsofUse.pdf,
nb,moncton,City of Montcon,2023,https://open.moncton.ca/datasets/moncton::active-transportation/explore?location=46.141055%2C-64.803603%2C11.92,https://opendata.arcgis.com/api/v3/datasets/939cf40923ce44e590d3ad47c4a429ff_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://www5.moncton.ca/docs/Open_Data_Terms_of_Use.pdf,
qc,montreal,Ville de Montréal,2023,https://donnees.montreal.ca/dataset/5ea29f40-1b5b-4f34-85b3-7c67088ff536/resource/234c8ee4-d9d8-4bb1-b957-3e5cd495a5aa/,Manual,https://creativecommons.org/licenses/by/4.0/legalcode.fr,
on,niagara_falls,City of Niagara Falls,2023,https://open.niagarafalls.ca/datasets/niagara-falls-community-bike-lanes/explore,https://opendata.arcgis.com/api/v3/datasets/9c8c5c0d8aed49c98ab41392d0b28715_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://niagarafalls.ca/services/open/terms-and-conditions.aspx,
bc,north_vancouver,District of North Vancouver,2024,https://www.geoweb.dnv.org/data/,http://geoweb.dnv.org/Products/Data/SHP/TrnBiking_shp.zip,https://geoweb.dnv.org/data/metadata.php?dataset=TrnBiking#,Contains information licensed under the Open Government Licence - North Vancouver
on,oakville,Town of Oakville,2024,https://portal-exploreoakville.opendata.arcgis.com/datasets/ExploreOakville::cycling-routes/about,https://opendata.arcgis.com/api/v3/datasets/67973b842b924005b9d1858dbd7b9a03_0/downloads/data?format=shp&spatialRefId=26917&where=1%3D1,https://www.oakville.ca/data/open_data_licence.html,Contains information licensed under the Open Government Licence — Town of Oakville
on,orangeville,Town of Orangeville,2019,https://data-orangeville.opendata.arcgis.com/datasets/orangeville::bike-routes/about,https://opendata.arcgis.com/api/v3/datasets/3bb5882a0f374572b50d544412525c10_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://data.orangeville.ca/opendata.html#licence,Contains information licensed under the Open Government Licence – Orangeville
on,ottawa,City of Ottawa,2021,https://open.ottawa.ca/datasets/ottawa::cycling-network/about,https://opendata.arcgis.com/api/v3/datasets/b06c4432d6e64aaaba0640eca9d4ff86_3/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://ottawa.ca/en/city-hall/open-transparent-and-accountable-government/open-data#open-data-licence-version-2-0,Contains information licensed under the Open Government Licence – City of Ottawa
on,oxford_county,Oxford County,2019,https://public-oxfordcounty.opendata.arcgis.com/datasets/9803ea9b66b740fcbd3930a30956c8b0_17/explore?location=42.870051%2C-80.727920%2C15.42,,,
bc,penticton,City of Penticton,2023,https://open.penticton.ca/datasets/a083f8d8cb004932abab4406b28994bd_822/explore,https://opendata.arcgis.com/api/v3/datasets/a083f8d8cb004932abab4406b28994bd_822/downloads/data?format=shp&spatialRefId=2955,https://www.penticton.ca/sites/default/files/docs/our-community/maps-gis/2020-07-02-PDF-Open%20Data%20Government%20Licence.pdf,Contains information licenced under the Open Government Licence - City of Penticton
on,peterborough,City of Peterborough,2023,https://data-ptbo.opendata.arcgis.com/datasets/c0267adc1c084b1cb66b3b58cfea6606_0/explore,https://opendata.arcgis.com/api/v3/datasets/c0267adc1c084b1cb66b3b58cfea6606_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://data-ptbo.opendata.arcgis.com/pages/terms-of-use,All intellectual property and other rights in and to the Dataset belong to the City of Peterborough.
bc,port_moody,City of Port Moody,2023,https://data.portmoody.ca/datasets/9f3aa5c190924e6dafad7cb588716c70_46/about,https://opendata.arcgis.com/api/v3/datasets/9f3aa5c190924e6dafad7cb588716c70_46/downloads/data?format=shp&spatialRefId=4326,https://www.portmoody.ca/en/city-hall/open-data-terms-of-use.aspx,Contains information licensed under the Open Government Licence – Port Moody
bc,prince_george,City of Prince George,2023,https://data-cityofpg.opendata.arcgis.com/datasets/CityofPG::ocp-8383-cycle-network/explore,https://opendata.arcgis.com/api/v3/datasets/c86fe6c11b5e49929aaf3768b1552746_5/downloads/data?format=shp&spatialRefId=26910,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence – British Columbia
qc,quebec_city,Ville de Québec,2023,https://www.donneesquebec.ca/recherche/dataset/vque_24#,https://www.donneesquebec.ca/recherche/dataset/8dba5a63-49b2-4d20-8333-f99df764ce10/resource/57064f57-122c-4e45-894e-a4dcf39ce6fa/download/vdq-reseaucyclable.geojson,https://www.donneesquebec.ca/politique-cadre/,
sk,regina,City of Regina,2018,https://open.regina.ca/dataset/pathways,https://ckanprodstorage.blob.core.windows.net/opendata/Pathways/SHP_ZIP/shp.Pathways.zip,https://www.regina.ca/terms/,Contains information licensed under the Open Government Licence – City of Regina.
qc,repentigny,Ville de Repentigny,2023,https://www.donneesquebec.ca/recherche/dataset/vrep-pistes-cyclables#,https://www.donneesquebec.ca/recherche/dataset/4bf7fa6a-d071-4187-a98f-c7082b99408e/resource/475e0542-428b-476b-818f-8037ef2b4f83/download/piste_cyclable.geojson,https://www.donneesquebec.ca/licence/#cc-by,
qc,rimouski,Ville de Rimouski,2023,https://www.donneesquebec.ca/recherche/dataset/pistes-cyclables-rim,https://www.donneesquebec.ca/recherche/dataset/342e9999-ab20-4ad8-a26b-89a17f73e426/resource/2b6ef3de-f87c-463d-8a34-c9074ae168b5/download/pistecyclable.json,https://www.donneesquebec.ca/licence/#cc-by,
qc,rouyn-noranda,Ville de Rouyn-Noranda,2023,https://www.donneesquebec.ca/recherche/dataset/reseau-cyclable/resource/1c7ba52f-92d4-47f2-a255-850f822d9ed8,https://www.donneesquebec.ca/recherche/dataset/7e359f54-b8d7-45aa-abaa-2f2135ad05f1/resource/1c7ba52f-92d4-47f2-a255-850f822d9ed8/download/reseau_cyclable.geojson,https://www.donneesquebec.ca/licence/#cc-by,
qc,saguenay,Ville de Saguenay,2023,https://www.donneesquebec.ca/recherche/dataset/sag_pistes_cyclables,https://www.donneesquebec.ca/recherche/dataset/77338401-0d96-43fc-9f75-2f5807918cb9/resource/afdbda31-0ada-448e-82fd-d27567c63e93/download/sag_pistecyclable.json,https://www.donneesquebec.ca/licence/#cc-by,
sk,saskatoon,PHAC,2023,Manual,Manual,http://opendata-saskatoon.cloudapp.net/TermsOfUse/TermsOfUse,
qc,shawinigan,Ville de Shawinigan,2020,https://osdp-psdo.canada.ca/dp/en/search/metadata/NRCAN-FGP-1-5afd394d-b6bb-4fd3-8eda-db071cdf2bd3,Manual,https://www.donneesquebec.ca/licence/#cc-by,
qc,sherbrooke,Ville de Sherbrooke,2024,https://donneesouvertes-sherbrooke.opendata.arcgis.com/datasets/9478537c06104aa0a2c7e4634947f382/explore,https://opendata.arcgis.com/api/v3/datasets/9478537c06104aa0a2c7e4634947f382_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://www.donneesquebec.ca/licence/#cc-by,
bc,squamish,District of Squamish,2021,https://opendata-squamish.hub.arcgis.com/datasets/526e12633e2e404cb229d0d2657e7092/explore?location=49.662123%2C-123.000688%2C10.04,https://opendata.arcgis.com/api/v3/datasets/526e12633e2e404cb229d0d2657e7092_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://squamish.ca/discover-squamish/maps-and-data/open-data/,Contains information licensed under the Open Government Licence - Squamish.
nb,st_john,City of Saint John,2023,https://catalogue-saintjohn.opendata.arcgis.com/datasets/12fa18af97964cf987593c4d907aa960_0/explore?location=45.325873%2C-66.110791%2C11.74,https://opendata.arcgis.com/api/v3/datasets/12fa18af97964cf987593c4d907aa960_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://ago-item-storage.s3.amazonaws.com/2b0da92076ce4cf48cda63a86fdc316f/Open_Data_Policy-2015-v.01-MAR-02.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEKP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCICEe8AUKBCBtmVz%2BF88wfc64PfEgZwm5hvnt0jQNWLYtAiEAktUC3yYzocyaSPZaIpVSmVPLpsxNykYUh%2By8CLoRNyIqtAUIHBAAGgw2MDQ3NTgxMDI2NjUiDNxeDWFARrT%2FomOGnyqRBRDgNCEQJN9UDbGao0biesBpSiKI89ntkxIeRoBn0iia2fmaqld5p1729rsOwCxqsgCxCP7X8kzdm8JFL%2BTrpjvo8YYbKcWkrlE4QnMHcP8Oz%2Bl%2FzpK%2FFwajEm0HBOLJuELvYt4hkayM5xGvzZb0B10yCW1c2XOZ%2Bm1LyRspq27DDZTH3YV9JV2293Ot4Q6%2BkaySEMn9yJqKHmb%2Bdi8TX8cs%2FTEp9B5sg7teHPR7kJaqyENuSlGhLF3Lgkegq63l1%2FGsg%2BbaeaaDtNQICZQCzm%2Fw0tRUFZB2UTdKyoJU09fb2s34KbvRw8tZgxmjq%2BZxM2wJtAr%2FM1nHDdrCO1NE%2F8OfDEvN6lWuee7OylwuGMsqFzCf9NPvjx7CNqBKevis%2F4%2FPB7YjKhrTK69CZFnIy59h%2Ficl3xQjB9FI7l%2B88M2GDoBBKlchM2GtQ2nYb%2FlqTk3FOqubKHyupOsEdMU522Odc1uZMfLljsmTF7eX2KOyxy1gwaQ6u%2Fw0fRB6HKzmBrryW1xCKCROYMl9gikhTPeRqwIP2NroFWPQ91NcLBNwNGs7nfvQcsNqK6xJ3UcyRRXBSRkew2F1VPjh%2BczocgFpLA8vnPwrzPxjqIqwu%2Faw%2Bc4GDBMd3vjT7ETjVQcCParp2wGOcT6KnhDBw%2BCE471cy8r6F8hbplH%2FTagDzYheeg7zYFmaxHOZ7Gt%2FSJVZbK6ckzTNYRlzi9mzf4%2Bg2FUSAHLPiaCQztlo%2FvyR%2BBRdEusrU2iNm9tUkUO8iIJcpawHIr8BtE0Mx9dvzZBlyagcAO5ZJ2sXNQETqLdaOHAQlSSg2SjPRoSs0KNDQcDCdDw9kXz2BnPwjRnkZCOC03BFiYtKImaEv55KymhIP%2BIMcjCcp92rBjqxASyXtmsT4oDfNWW7h6lGnpzJNLCfVjlfbAEneIIF%2FL7I%2BAbcCI3Ov%2BtOy2sv%2BQi8YMavWYlQWRHiUptjLya9jHohwk6TTWhp4GYgvmjkWb%2FS9H1u5QQHfpu3yEdLOwKkeka1k3nLiSZ%2BR4phQocj%2Fx4zj1pe67d5WX9zc8rA%2FHOo5gdTzIJXTdcpXMSMd34oxICsJ59TzP6a0jUHX7pwn9JHgxyr9ZDMuqUzD0a6Q9DUYg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231211T200748Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKEQHCIPSV3%2F20231211%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=46a7b16f30aaf798d09710a15814662e8e180c1ecb4c9fec70c0d7248677a26a,Contains information licensed under the Open Government Licence – City of Saint John 
nl,st_johns,PHAC,2023,Manual,Manual,,
bc,surrey,City of Surrey,2022,https://data.surrey.ca/dataset/bike-routes/resource/e10c6ce3-454e-498e-901c-aeb44d04e78c?inner_span=True,https://cosmos.surrey.ca/geo_ref/Images/OpenDataArchives/Bike_Routes_JSON.zip,https://data.surrey.ca/pages/open-government-licence-surrey,Contains information licensed under the Open Government License – City of Surrey
on,toronto,City of Toronto,2024,https://open.toronto.ca/dataset/cycling-network/,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/cycling-network/resource/02c5bb36-6a6c-4081-a7f2-3b9a701db2af/download/cycling-network%20-%204326.gpkg,https://open.toronto.ca/open-data-license/,Contains information licensed under the Open Government Licence – Toronto
qc,trois-rivières,Ville de Trois-Rivières,2023,https://www.donneesquebec.ca/recherche/dataset/piste-cyclable-v3r/resource/39c38011-6d49-427e-89af-b7ae72c9a04f,https://www.donneesquebec.ca/recherche/dataset/f86bcc29-853d-4f16-8ec9-abdb1fdbd0f0/resource/39c38011-6d49-427e-89af-b7ae72c9a04f/download/piste-cyclable-v3r.json,https://www.donneesquebec.ca/fr/licence/#cc-by,
bc,vancouver,City of Vancouver,2023,https://opendata.vancouver.ca/explore/dataset/bikeways/information/?disjunctive.bike_route_name&disjunctive.bikeway_type&disjunctive.subtype&disjunctive.year_of_construction,https://opendata.vancouver.ca/explore/dataset/bikeways/download/?format=shp&timezone=America/New_York&lang=en,https://opendata.vancouver.ca/pages/licence/,Contains information licensed under the Open Government Licence – Vancouver
bc,vernon,City of Vernon,2023,https://cov-open-data-vernon.hub.arcgis.com/datasets/vernon-bike-routes/explore?location=50.072859%2C-119.359818%2C12.49,https://opendata.arcgis.com/api/v3/datasets/7cd21ff3cd9a4cf09f4ba77c860849b8_25/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://www.vernon.ca/government-services/maps-gis/open-data-catalogue,
bc,victoria,City of Victoria,2022,https://opendata.victoria.ca/datasets/34632d5ee89d40ffa0462e717ae49d0b/explore?location=48.425669%2C-123.350522%2C13.67,https://opendata.arcgis.com/api/v3/datasets/34632d5ee89d40ffa0462e717ae49d0b_23/downloads/data?format=shp&spatialRefId=3157,https://opendata.victoria.ca/pages/open-data-licence,Contains information licensed under the Open Government Licence – City of Victoria
on,waterloo,City of Waterloo,2019,https://rowopendata-rmw.opendata.arcgis.com/datasets/City-of-Waterloo::cycling-infrastructure/about,https://opendata.arcgis.com/api/v3/datasets/416741dbcb40451899b84ca7e10a80ee_0/downloads/data?format=shp&spatialRefId=4326&where=1%3D1,https://data.waterloo.ca/pages/open-data-licence,Contains information provided by the City of Waterloo under licence
bc,west_vancouver,District of West Vancouver,2020,https://mapping.westvancouver.ca/OD/dbo_OPENDATA_FILES_list.php?page=list,Manual,https://mapping.westvancouver.ca/OD/Open_Government_License_West_Vancouver-final.pdf,Contains information licensed under the Open Government license - West Vancouver
